iter	Passed	Remaining
0	1	109
1	1	94
2	2	87
3	3	80
4	4	78
5	4	77
6	5	76
7	6	74
8	7	73
9	8	72
10	8	70
11	9	70
12	10	68
13	10	67
14	11	66
15	12	65
16	13	64
17	14	64
18	14	63
19	15	62
20	16	62
21	17	61
22	18	60
23	18	59
24	19	58
25	20	58
26	21	57
27	21	56
28	22	55
29	23	54
30	24	53
31	25	53
32	25	52
33	26	51
34	27	50
35	28	50
36	28	49
37	29	48
38	30	47
39	31	46
40	32	46
41	32	44
42	33	44
43	34	43
44	34	42
45	35	41
46	36	41
47	37	40
48	38	39
49	38	38
50	39	38
51	40	37
52	41	36
53	42	35
54	42	34
55	43	34
56	44	33
57	45	32
58	45	31
59	46	31
60	47	30
61	48	29
62	49	28
63	50	28
64	50	27
65	51	26
66	52	25
67	53	25
68	54	24
69	55	23
70	55	22
71	56	22
72	57	21
73	58	20
74	59	19
75	60	18
76	60	18
77	61	17
78	62	16
79	63	15
80	64	15
81	65	14
82	65	13
83	66	12
84	67	11
85	68	11
86	69	10
87	69	9
88	70	8
89	71	7
90	72	7
91	73	6
92	74	5
93	75	4
94	75	3
95	76	3
96	77	2
97	78	1
98	79	0
99	79	0
