iter	Passed	Remaining
0	146	146236
1	147	73500
2	148	49214
3	148	37079
4	149	29788
5	150	24921
6	151	21444
7	152	18848
8	152	16825
9	153	15219
10	154	13893
11	155	12783
12	155	11842
13	156	11037
14	157	10339
15	158	9746
16	159	9211
17	160	8733
18	160	8303
19	161	7915
20	162	7568
21	163	7255
22	164	6970
23	164	6704
24	165	6461
25	166	6232
26	167	6025
27	167	5830
28	168	5647
29	169	5479
30	170	5319
31	170	5170
32	171	5030
33	172	4902
34	173	4783
35	174	4666
36	175	4556
37	175	4450
38	176	4349
39	177	4254
40	177	4163
41	178	4077
42	179	3994
43	180	3915
44	180	3840
45	181	3771
46	182	3705
47	183	3641
48	184	3578
49	185	3518
50	185	3459
51	186	3405
52	187	3352
53	188	3304
54	189	3254
55	190	3205
56	190	3157
57	191	3112
58	192	3070
59	193	3028
60	194	2986
61	194	2946
62	195	2907
63	196	2869
64	197	2834
65	197	2800
66	198	2765
67	199	2731
68	200	2699
69	200	2670
70	201	2641
71	202	2613
72	203	2586
73	204	2558
74	205	2531
75	206	2504
76	206	2478
77	207	2452
78	208	2427
79	209	2403
80	209	2380
81	210	2359
82	211	2333
83	212	2313
84	213	2293
85	213	2272
86	214	2251
87	215	2232
88	216	2213
89	216	2194
90	217	2177
91	218	2159
92	219	2143
93	220	2127
94	221	2110
95	222	2093
96	223	2076
97	223	2059
98	224	2043
99	225	2027
100	225	2011
101	226	1997
102	227	1983
103	228	1968
104	229	1954
105	230	1941
106	231	1928
107	231	1914
108	232	1903
109	234	1893
110	235	1883
111	236	1874
112	237	1866
113	238	1857
114	240	1848
115	241	1843
116	243	1834
117	244	1828
118	245	1817
119	246	1807
120	247	1798
121	248	1790
122	249	1781
123	250	1772
124	252	1765
125	253	1756
126	253	1745
127	255	1737
128	256	1730
129	257	1723
130	258	1716
131	259	1708
132	260	1700
133	262	1694
134	264	1696
135	266	1690
136	267	1684
137	268	1676
138	269	1668
139	270	1659
140	271	1651
141	271	1641
142	272	1632
143	273	1624
144	274	1615
145	274	1608
146	275	1600
147	276	1592
148	277	1584
149	278	1576
150	278	1568
151	279	1560
152	280	1553
153	281	1545
154	282	1538
155	282	1530
156	283	1524
157	284	1516
158	285	1509
159	286	1502
160	286	1493
161	287	1486
162	288	1479
163	289	1473
164	289	1466
165	290	1460
166	291	1453
167	292	1447
168	292	1440
169	293	1434
170	294	1427
171	295	1422
172	296	1416
173	296	1409
174	297	1403
175	298	1398
176	299	1392
177	300	1386
178	301	1380
179	301	1374
180	302	1369
181	303	1364
182	304	1358
183	305	1353
184	306	1348
185	306	1343
186	307	1337
187	308	1332
188	309	1327
189	310	1321
190	310	1316
191	311	1311
192	312	1306
193	313	1301
